Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/posts/ [Create],90,0,2,1.9065426001260575,0.8655000019643921,16.554375000850996,350.4222222222222,0.7545698329190523,0.0,2,2,2,2,2,3,14,17,17,17,17
GET,/posts/ [List],60,0,2,2.019672283616577,0.9760419998201542,15.430542000103742,3464.0,0.5030465552793681,0.0,2,2,2,2,3,3,4,15,15,15,15
GET,/posts/ [Quick],2596,0,2,2.2418805307736527,0.8704159990884364,76.07295899651945,1741.0,21.76514762508733,0.0,2,2,2,2,3,3,5,18,42,76,76
DELETE,/posts/{post_id} [Delete],29,0,2,2.849347758581581,0.9539169986965135,32.872625000891276,0.0,0.24313916838502797,0.0,2,2,2,2,3,4,33,33,33,33,33
GET,/posts/{post_id} [Read],60,0,2,1.7876104831884732,0.9360000003653113,2.8152500017313287,349.3666666666667,0.5030465552793681,0.0,2,2,2,2,3,3,3,3,3,3,3
PATCH,/posts/{post_id} [Update],30,0,2,2.1897721996841333,1.1358330011717044,5.529375001060544,343.3333333333333,0.2515232776396841,0.0,2,2,3,3,3,3,6,6,6,6,6
POST,/users/ [Create],115,0,2,1.958381512889426,0.9802499989746138,18.602833999466384,183.0,0.9641725642854557,0.0,2,2,2,2,2,3,5,7,19,19,19
GET,/users/ [List],88,0,3,3.3559190795296505,1.4626670017605647,13.261500000226079,1792.0,0.73780161440974,0.0,3,3,3,4,7,8,10,13,13,13,13
POST,/users/ [Quick Create],549,0,2,2.0294358688585827,0.9555409997119568,18.550583998148795,176.0,4.602875980806219,0.0,2,2,2,2,3,3,5,9,19,19,19
GET,/users/ [Quick],2593,0,2,2.564986991081142,1.076290998753393,42.37154200018267,893.0,21.73999529732336,0.0,2,2,3,3,3,4,6,13,37,42,42
DELETE,/users/{user_id} [Delete],30,0,2,2.1229000000554756,1.0770830012916122,12.45004200245603,0.0,0.2515232776396841,0.0,2,2,2,2,2,3,12,12,12,12,12
GET,/users/{user_id} [Read],66,0,2,2.3076515451865625,1.1749589975806884,27.679833001457155,183.0,0.553351210807305,0.0,2,2,2,2,2,2,10,28,28,28,28
PATCH,/users/{user_id} [Update],31,31,2,1.92085354830206,1.1754580009437632,2.8677910013357177,192.7741935483871,0.25990738689434023,0.25990738689434023,2,2,2,2,2,3,3,3,3,3,3
,Aggregated,6337,31,2,2.3559281495560103,0.8655000019643921,76.07295899651945,1167.6256903897743,53.13010034675594,0.25990738689434023,2,2,2,3,3,4,6,14,37,76,76
